Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     18.08     0.00    66591     0.00     0.00  __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >::difference_type __gnu_cxx::operator-<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > > const&, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > > const&)
  0.00     18.08     0.00    66480     0.00     0.00  std::pair<std::string const, int>::~pair()
  0.00     18.08     0.00    66480     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::operator[](unsigned long)
  0.00     18.08     0.00    66480     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&& std::forward<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >(std::identity<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >::type&&)
  0.00     18.08     0.00    65569     0.00     0.00  bool std::operator==<NgramList::Ngram*, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*> const&, std::move_iterator<NgramList::Ngram*> const&)
  0.00     18.08     0.00    65569     0.00     0.00  bool std::operator!=<NgramList::Ngram*, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*> const&, std::move_iterator<NgramList::Ngram*> const&)
  0.00     18.08     0.00    65535     0.00     0.00  std::move_iterator<NgramList::Ngram*>::operator*() const
  0.00     18.08     0.00    65535     0.00     0.00  std::move_iterator<NgramList::Ngram*>::operator++()
  0.00     18.08     0.00    65535     0.00     0.00  void std::_Construct<NgramList::Ngram, NgramList::Ngram>(NgramList::Ngram*, NgramList::Ngram&&)
  0.00     18.08     0.00    65535     0.00     0.00  NgramList::Ngram&& std::forward<NgramList::Ngram>(std::identity<NgramList::Ngram>::type&&)
  0.00     18.08     0.00    60506     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<std::string const, int>, false> const*, unsigned long) const
  0.00     18.08     0.00    53509     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::find(std::string const&)
  0.00     18.08     0.00    53509     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::_Hashtable_iterator(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00     18.08     0.00    53509     0.00     0.00  bool std::__detail::operator==<std::pair<std::string const, int>, false>(std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&, std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&)
  0.00     18.08     0.00    53509     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     18.08     0.00    53509     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
